Type,Unique id,Land number,Description,Left upper lat position,Left upper lat direction,Left upper lon position,Left upper lon direction,Right lower lat position,Right lower lat direction,Right lower lon position,Right lower lon direction
l,0,29137,kuAchqevFI,9.889694241697242,S,8.672997091635128,E,62.53066780576802,S,65.59247879913728,E
re,1,67811,bNkaHSVyTM,9.889694241697242,S,8.672997091635128,E,72.48982745605085,S,150.21940531265034,W
re,2,59171,yNvosjUAlD,9.889694241697242,S,8.672997091635128,E,66.09574450499261,N,129.8267929472086,W
re,3,36617,prGkrRsbTv,9.889694241697242,S,8.672997091635128,E,80.30268513374334,S,139.79798545105638,E
l,4,66568,sfIPdrJovm,26.033620390078283,S,164.4914408213758,E,80.30268513374334,S,139.79798545105638,E
re,5,80825,vuZBIYhuIu,39.050136306625475,N,20.419609379406907,W,83.62265244614818,N,97.76329322497291,E
l,6,17055,jjrdjiDZhv,62.19345184481738,N,11.256065496442561,W,80.30268513374334,S,139.79798545105638,E
l,7,83332,gWSwonmRqf,9.889694241697242,S,8.672997091635128,E,52.4383376765032,S,142.85228536126522,E
l,8,97165,oIPIjEirtj,16.711468598523503,N,6.581280224612981,W,80.30268513374334,S,139.79798545105638,E
l,9,38039,WbLecOzyDu,26.317633176495416,N,79.39305823529995,W,80.30268513374334,S,139.79798545105638,E
re,10,25608,ZmRffGqITh,45.39736421473796,N,174.51192312084947,E,80.30268513374334,S,139.79798545105638,E
l,11,72670,brgvwRlNVM,45.39736421473796,N,174.51192312084947,E,69.97754705029924,S,135.94855182903285,E
re,12,16152,MGHFSkAWtZ,44.717826137097404,S,81.10469156688518,W,80.30268513374334,S,139.79798545105638,E
l,13,73465,HICAcTXJKI,52.393302949438265,N,71.99026789046314,E,80.30268513374334,S,139.79798545105638,E
l,14,18891,kdDvnvjeyd,26.72632742403656,N,140.40781969338977,W,29.739101846601965,N,36.42240231822749,E
re,15,20918,SyHJASHuQR,52.393302949438265,N,71.99026789046314,E,15.742620027019754,S,167.3406068741381,E
re,16,30774,LdqyGcKVjO,18.569616154151486,S,57.16825550275791,W,80.30268513374334,S,139.79798545105638,E
re,17,72282,DjtpSoGqAu,24.26088893401004,N,145.8886511219088,E,80.30268513374334,S,139.79798545105638,E
l,18,2913,duAMQZkOAD,64.56255734637664,S,27.392480468002304,W,80.30268513374334,S,139.79798545105638,E
re,19,51657,IpJlNVStBM,61.01945789893896,N,126.86071184068554,E,80.30268513374334,S,139.79798545105638,E
re,20,38523,pTGndxuEkE,10.439210930087274,N,82.40233561883997,E,80.30268513374334,S,139.79798545105638,E
l,21,63961,CDlQzCOFlE,31.7770526183954,S,148.25220100830967,W,80.30268513374334,S,139.79798545105638,E
re,22,28964,qrtUSYZfvl,31.7770526183954,S,148.25220100830967,W,28.855858861884705,S,105.43336097306627,W
re,23,14482,hFRvTlLDOy,31.7770526183954,S,148.25220100830967,W,8.686232325315148,S,158.6077476932378,W
l,24,63849,muQrTumXRP,10.439210930087274,N,82.40233561883997,E,47.8811749901825,S,88.35249694510149,W
re,25,72933,RQGldVTSAo,31.7770526183954,S,148.25220100830967,W,39.57557707889791,N,161.0071136508671,E
re,26,94148,HCtOVvNjik,31.7770526183954,S,148.25220100830967,W,79.30415776462736,S,88.8267736119486,W
l,27,10354,NnzuUTPcGk,43.20890779643761,S,161.37586674158396,E,80.30268513374334,S,139.79798545105638,E
l,28,38286,QgAFXZTjGf,34.73845385808038,S,82.06898391611682,W,80.30268513374334,S,139.79798545105638,E
l,29,73972,EjZOSFItxW,74.83512139064317,N,54.351453857580566,W,80.30268513374334,S,139.79798545105638,E
re,30,25637,FAorQqybRn,25.03464295192104,N,43.23505412056494,E,80.30268513374334,S,139.79798545105638,E
re,31,53339,tZTFwyoPXE,74.83512139064317,N,54.351453857580566,W,84.74882230401117,N,165.7450830864867,E
l,32,48148,gmOCoKXrhH,25.03464295192104,N,43.23505412056494,E,63.30695335499307,S,130.1222854373026,E
re,33,99945,oxMlKyqYbv,31.86908725626644,S,98.74768305707005,W,80.30268513374334,S,139.79798545105638,E
re,34,66129,FYlePoArmC,74.83512139064317,N,54.351453857580566,W,67.12225497679614,N,3.846902123614454,W
l,35,90775,ZUgcONTiiH,31.86908725626644,S,98.74768305707005,W,22.234832541697223,N,167.1218518945474,W
l,36,32888,drPHZLjqky,31.86908725626644,S,98.74768305707005,W,25.93678897636986,S,70.57356814133708,E
re,37,43167,UbtczYKbDK,76.00095778948274,N,58.65872968881307,W,74.08800977779437,N,38.59354617589416,E
l,38,39183,RpVPAfOwsu,42.22258190414915,S,42.55455907471756,W,80.30268513374334,S,139.79798545105638,E
re,39,71038,QfIocmwRcW,37.12584198262221,N,55.94786581116707,W,35.42741372598457,N,107.80973464989458,E
l,40,64532,SXBBBkDtAM,6.524490572813101,N,146.1124964940996,W,55.12799194135768,S,132.47785765167376,W
l,41,71378,XxQkpinojq,5.001829644953276,S,148.4851077471392,E,80.30268513374334,S,139.79798545105638,E
re,42,37880,iRYTyearvT,24.28097356975094,S,21.734176208449263,E,80.30268513374334,S,139.79798545105638,E
re,43,47901,fqfEbZqVWM,5.001829644953276,S,148.4851077471392,E,22.13562531586492,S,102.6143832922745,E
l,44,21636,UkeSTfEphT,24.28097356975094,S,21.734176208449263,E,75.24153249537896,N,81.02650950490502,W
re,45,21137,IKzVlYTNPL,22.8832731052748,S,69.86861225190522,W,80.30268513374334,S,139.79798545105638,E
l,46,56347,PsosSlkUVU,67.05484348393057,N,135.54794973285257,E,80.30268513374334,S,139.79798545105638,E
l,47,81430,SCAPIrNIiJ,22.8832731052748,S,69.86861225190522,W,27.152235717829303,S,11.297285864040091,E
l,48,4741,BLGdXNqNTP,36.83046618873999,N,38.56102800595967,E,80.30268513374334,S,139.79798545105638,E
l,49,2399,xPHbGOsPVA,40.74567234949544,S,159.34980589892672,W,80.30268513374334,S,139.79798545105638,E
re,50,39127,YMbtYmCUqa,40.74567234949544,S,159.34980589892672,W,34.95567967837577,S,110.74740132322795,W
re,51,53584,OopjyOUlSE,45.86407393046334,N,107.8008957236215,E,80.30268513374334,S,139.79798545105638,E
l,52,72189,xqmAAGjxPd,45.86407393046334,N,107.8008957236215,E,23.46121982148456,S,9.01336240503167,E
l,53,3352,OQhHkPTULv,45.86407393046334,N,107.8008957236215,E,24.717614070084995,S,112.78109703175215,W
re,54,28943,JZcgSQPcUf,54.69021718546248,N,47.731309655861416,W,80.30268513374334,S,139.79798545105638,E
re,55,16682,VJEwKdmugD,10.248881850109326,S,110.28028508573739,E,7.668880223931011,N,60.86973615591529,E
l,56,29935,ADdqzBwbet,54.69021718546248,N,47.731309655861416,W,17.501199966591553,N,52.93802944139589,W
re,57,78342,rkJzOvvnfc,40.74567234949544,S,159.34980589892672,W,46.10887025329837,S,167.99988821152547,E
l,58,93790,CjazyBPtWq,61.4171808148725,S,36.48509553302042,E,80.30268513374334,S,139.79798545105638,E
re,59,62273,wltxayVGOA,61.4171808148725,S,36.48509553302042,E,15.759499299336627,N,72.60039211921652,E
l,60,76944,QfhDunFUEf,54.69021718546248,N,47.731309655861416,W,40.80754957460106,S,89.95654092180028,E
l,61,62204,iqmQlPIhFj,54.69021718546248,N,47.731309655861416,W,25.68039421035666,N,12.662695958547873,W
l,62,80944,cdETdJRBFv,65.64542726070584,S,41.099776670922495,E,27.89992728907654,S,31.510052088102423,E
re,63,60241,vxeSLqbCRQ,64.32876200313977,N,122.9055552514235,W,80.30268513374334,S,139.79798545105638,E
l,64,21157,EyalpEeixi,83.06381034512917,S,57.75107812637062,W,80.30268513374334,S,139.79798545105638,E
l,65,89091,bAPIacrVUH,64.32876200313977,N,122.9055552514235,W,0.350017288633781,S,89.356474609194,E
re,66,48397,iVdWPTCUqV,83.06381034512917,S,57.75107812637062,W,79.48382095754667,S,85.76972499835891,W
l,67,99122,MNcciVrqnd,61.754485710342294,N,88.52906312335861,W,59.016284504058454,N,5.950004510821222,W
re,68,85796,GnKpURauEs,83.06381034512917,S,57.75107812637062,W,72.1132540030721,N,95.18346053166574,E
re,69,56354,SmryMZWhuJ,83.06381034512917,S,57.75107812637062,W,40.07926429552455,S,1.0792042574054694,E
l,70,51834,YKgTJhdNOf,82.75808088194124,S,95.99767165531982,W,80.30268513374334,S,139.79798545105638,E
l,71,2251,SSrnjclaFi,64.32876200313977,N,122.9055552514235,W,2.212945263710917,N,45.67795389845523,W
l,72,8992,lLrfUtDtBv,64.32876200313977,N,122.9055552514235,W,38.63308884849535,N,130.60050240774737,E
re,73,69955,SMgRZphoru,16.309961713896627,N,92.28832512748987,W,80.30268513374334,S,139.79798545105638,E
